,word,type,definition,sentence
0,trend,noun,a style that is currently popular; the general course of something,Fashion trends are always changing.
trend,noun,a style that is currently popular; the general course of something,Fashion trends are always changing.
acquire,verb,to get or come into possession of something; to accumulate or collect,"Over 20 years of collecting stamps, I’ve acquired over 4,000 of them!"
trend,noun,a style that is currently popular; the general course of something,Fashion trends are always changing.
acquire,verb,to get or come into possession of something; to accumulate or collect,"Over 20 years of collecting stamps, I’ve acquired over 4,000 of them!"
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
